Date,Day,Holiday Name
2025-01-26,Sunday,Republic Day
2025-02-26,Wednesday,Maha Shivaratri
2025-03-14,Friday,Holi
2025-03-31,Monday,Id-ul-Fitr
2025-04-10,Thursday,Mahavir Jayanti
2025-04-18,Friday,Good Friday
2025-05-12,Monday,Buddha Purnima
2025-06-07,Saturday,Id-ul-Zuha (Bakrid)
2025-07-06,Sunday,Muharram
2025-08-15,Friday,Independence Day
2025-08-16,Saturday,Janmashtami
2025-09-05,Friday,Milad-un-Nabi (Id-e-Milad)
2025-10-02,Thursday,Mahatma Gandhi’s Birthday
2025-10-02,Thursday,Dussehra
2025-10-20,Monday,Diwali (Deepavali)
2025-11-05,Wednesday,Guru Nanak’s Birthday
2025-12-25,Thursday,Christmas Day
